INSEE;lon;lat
200035707;1.97;43.21
247600786;1.09;49.89
245100979;3.96;48.72
244900882;-0.04;47.52
247700594;2.72;48.86
248100745;2.54;43.49
200034635;7.59;48.65
248900524;3.33;47.87
247400112;6.11;46.04
200071033;5.82;44.15
248200107;1.80;44.22
200069516;-0.57;49.24
200067346;-1.94;47.12
200066926;0.57;43.69
200068435;0.78;48.41
200073096;4.81;45.08
242101459;4.56;47.51
200034874;5.70;48.92
200068666;4.91;48.55
200035715;2.43;43.23
200023919;2.72;48.19
240200634;4.07;49.71
200046977;4.85;45.76
200069755;-0.10;46.19
200067593;2.36;45.99
200066975;2.64;49.21
245700950;7.22;48.72
243301249;-0.42;44.90
200058782;2.00;48.78
248600447;0.10;46.97
246600464;2.10;42.57
247600588;1.45;50.03
247200686;0.65;48.14
200068443;-0.63;48.52
247700339;2.81;48.85
247200447;0.27;47.85
241700699;-1.04;45.79
241500271;2.36;45.24
200071082;2.59;46.27
244301107;4.28;45.09
200034882;6.68;45.88
243301454;-0.05;44.82
243700499;0.86;47.58
242100154;5.08;47.52
241700459;-1.41;46.20
243301215;-0.34;44.77
200069565;6.26;46.74
200067320;6.19;44.50
245400171;6.09;48.60
200066744;2.26;45.57
245900428;2.32;51.00
245501242;5.60;49.20
200035764;1.78;48.02
243300563;-1.12;44.57
246600449;2.75;42.59
242900660;-4.03;47.91
247100639;4.00;46.27
200043438;4.49;48.90
243301223;-0.47;45.04
200070183;1.61;47.87
200071066;6.96;48.29
200058006;2.53;48.76
200017341;3.37;43.79
200043081;0.21;47.18
248100737;2.16;43.91
200026573;5.85;46.36
200066710;-0.40;48.99
200065886;4.02;45.62
245400189;6.31;48.60
200035772;6.14;48.46
247400617;6.37;45.89
246700488;7.72;48.57
200058360;1.22;48.38
200010700;0.61;49.54
200035533;-0.11;44.91
243000296;4.12;43.83
200043404;4.11;50.05
200065647;6.78;47.45
249710062;-4.74;42.02
249740101;-0.18;42.03
200069540;5.14;47.37
249740119;0.06;42.17
200069300;0.00;43.15
240200469;3.71;49.70
242101491;4.36;47.65
200039055;4.77;47.31
